,text
55,heran deh ngatain si via baperan ya wajar dese baper udin muak orang munafik sok an dese kabar baperan laki orang ga nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
56,komen via nyinyir mulu duh kyak gak nyinyirin orang aja parah kalo orang sok mah gitu pdhal media sosial hak instagram instagram nyinyir gak pake ig s
57,pikir manusia bodoh eeh tante oma empo otak lu picik bngt ya jga manusi larang emang dunia orang larang ngungkapin stupid human
58,nya ngatain orang nyindir netijen goblog banyak masyako
59,didik ortunya nagita bagus heran dg balajaer nagita yah rugi junjunganny knp benci bodoh banget asli
60,pdhl km kampung loh pake kerudung mulut cuihh
61,belajaer tuh ya hahahaha bela artis ampe begitu begoh
62,iya norak kampyuung coba liat artis adem ayem liat isyana liat agnezmo liat mba liat liat aja coba telaah deh kasih tau contoh artis better eh jawab ya cocok la
63,gak sok high class mba liat komenmu artis mbak suka curhat ig curhat temen curhat tuhan ngak trus mulut situ maju otak mikirnya curh
64,goblok gak netizen kontra postingan si via bakajaer kali mba mas ih goblok piara lol
65,sih emg artis ko artis indo nya ngurus prestasi sosmed nya mulu isi nya jatoh nya kampung
66,aja kn ya mba kaya agnes mo bnyk harga nya kampung beda am
67,munafik banget ngomong curhat sosmed kampung gua elu kitu keleus wkkwkww mending mba via artis cantik nyanyi la elu lbh kampung wkwkwkwkw
68,wawan z emng artis ga tmn dikit dikit att hahaha curhat sosmed kampung
69,lemes ya mulut berani ststus udah gitu tulis sengaja biar ga baca takut kali labrak m artis kampung sih ya wajar ya
70,main main jawa timur biar ga begok
71,nya ngatain orang nyindir netijen goblog banyak masyako
72,udah nunjukin karya situ pny karya karya nyinyir hidup via tolol
73,bilang fansnya via duh nantangin nih orang anak tolol ank alay jablay
74,yutub ya mba aplikasi ya sy tau youtube mba gak tau ya seseorg dpt hasil salah satu youtube loh mreka bayar kalo bnyk ntn video mreka sekolah deh mba biar pinter generasi muda
75,suka gangerti deh yaa kalo via vallen bikin status apa sangkut pautin att mulu att nya aja aja fansnya sih bikin jelek orang kalo sangkut pautin mulu gerah kali
76,jujur aja ya ni orang bagus kaga oplas tu foto sblm dn oplas dioplas muka aneh kyknya gagal oplasnya
77,norak abis kebel emas az pamer aplg main berlian cin
78,before and after pasca oplas ga ngefek ya tetep jelek rem muka ahahahhaha
79,salfok muka sumpah jelek oplas model failed
80,norak gaet jahat
81,najis philipine banget kali aja bangga usak moral ko bangga najis banget liat ckp aja komen nya pngn ngetop lwt nitezere wkwkwk ngarep laku
82,gua bingung jujur media rebut ngeliput orang kayak cuman net doang media informasi waras
83,jedun ga becus perempuan hormat ga becus perempuan cerdas ga becus perempuan cari suami sah suami orang ga becus perempuan hindar narkoba ga becus perempuan jaga nama keluarga moga perempuan kayak dunia ya jedun
84,cewe bgni hrsnya gosong abu aja bakar pabrik viral kmrn tu slain ga brguna gda otak cm modal ngangkang trs gebet laki orang trs bangga btw kalo emg instastory nya nyindir bin tua mah eh at least biar ga becus prewi becus cuii emak bukti anak nya bejibun trs smua pro emaknya drpd bapak
85,hahaha kasi ya gak becus rem ngerebut laki orang biar kata perempuan dasar perempuan sadar ente cuy
86,dasar artis abal abal enggk laku layar kaca udh enggk duit kere miskin maen k dukun elmu pelet rebut suami orang kaya
87,ih becus makrum becus ngrebut suami orang hehe
88,e si lacur situ becus brempuan emang becus sampah sih iya edeuh lonte lonte
89,biarin puas puasin mumpung deseu brasa muda ntar kalo dah tua nyaho karma
90,anak perempuan lho contohin jelek anak becus perempuan amit amit
91,kaya becus aja permpuan yng becus perempuan ko suka laki orng heheh
92,gk becus tuh loh jedun hidup nya bisa ngerusak kbhgiaan orang hidup serba mewah krja mlh morotin laki orang karma psti akn mnghampirimu
93,gak suka ni orang idupnya banyak ribut
94,dasar artis abal abal enggk laku layar kaca udh enggk duit kere miskin maen k dukun elmu pelet rebut suami orang kaya
95,nama nya plagiat ya plagiat laku tetep ajah cipta dri hasil plagiat wkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah
96,dasar plagiat ga kreatip memalukab banget
97,bego bilang apa ya lirik aja cinta gitu lagu tolol si ayu gapunya kuping ya orang dipermasalahin nada
98,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu aja sprti hidup penuh drama murah
99,japok gatel emang uda main si mamad sampe si jessica dimusuhin deddy corbuzier aja jijik si japok semenjak nagita undang hitam putih nagita cerita panggung aja sih
100,malu buk ngomong pelakor emang ibuk udah pelakor ya tau ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor
101,kerdus mulut busuk sampah makan
102,tai loe gedein bagus pupuk jngan bacot loe goblok nih cewek knpa suku
103,elo artis papan blenyek aja belagu artis kga populer sekalu hahaha
104,anang muka nya kaya babi gitu aja demenin jijikk
105,ga suka ayu ting ting ga parah ngejudge nya hati otak manusia kurang lebih asa enak nya menjudge orang kaya udah sempurna aja
106,ga pantes panggil ustad orang munafik ceramah orang laku sndr aja menzolimi istri sah nya dgn poligami kaci istri pertama ga tw malu istri hadeh kalo msh manggil bwt ceramah nama bodo
107,biadab kalo anak bully mampusin ya
108,dasar anjing tuh cowok orang berani cowok one by one lemah dasar yah zaman casing doank cowok nyali nya banci
109,iya kasi si micin usah produk micin iklan kalo masak tambah micin biar sedap netizen sudut mecin bodoh orang ganggu jiwa ngemil micin justiceformicin
110,wahh vidio baju norak bngtt ayuu murahaan
111,bodoh ya
112,edit banget ya ampun si mommy lambe habis gosib ya si pelakor
113,yah admin nya golong konsumsi mecin pil pcc otak lu rusak min
114,orang govlok prcya ayu slgkuh sma rafi bukti rafi sma gigi aja ktamu ayu pelakor suami rebut woyy ayu suami fikir pke otak mkanya jgn kbanyakan micin jdi govlok
115,hoy baris sakit hati jijikk banget fans billy mah alhamdulillah banget billy putus manusiaa buluk ituu tunggu akhiry putus kobil jijik ni orang v
116,mba gak ngerasa cinlok babang anthony ketemu mana sih set boy alah ngaku aja mba dumang cinlok bilang gak cinlok nama bodoh wajar netizen bilang ratu cinlok nyata emang ya marah resiko artis hahahhaa ya mba cari alas hahahahaha
117,noh urus tu kuin lu biar ga gatel laki orng masyarakat udh tau kali japok gundik janda gatel udh nyata nya begtu anak sholehah agama nya kuat mata kuliah agama cma dpt agama nya kuat tpi hamil
118,bilang tu kuin lu gesek grepe lakik orng ga malu udh hamil nikah kegatelan janda
119,please bela pelakor hukum si muljem karna uda tega recut suami sahabat jalan sanksi sosial valakor mesti benci karna biar ga valakor indonesia biar musnah sem
120,najis muakk jijik pelakor jijik
121,moga kena karma moga karma tinggal istri bwrjuang dg nol sukses selingkuh sok kuasa istri ya
122,sedih ya ngamen kawin orang mantan istri mah pesawat jet bhay pelakor botakbego
123,hehh pelakornya yak ngapa emosi situ kenal kalo berani pake akun asli pantes pake akun bodong ngerebut laki orang ceplos yak pake bodong ngakak lucu
124,wkwkwkwk udh gak laku nyanyi dhajatan si lonte pelakor
125,wakakak cerita kyk gituu ajar aja jgn sampe ni swamik swamik milih pelakor drpd istri hancurr bookk ga bohong deh kere kismin nyungsep emang ngatur rezeki tu tuha
126,cwenya bodoh cwonya pinter ya emg laki kaya macho gitu plus nya kaya jago gombal maennya gesit ulala ngakakabis
127,bodoh ngapain keluarga depok komen orang gak aja hidup gak bahagia suka hujat orang hidup artis ayu pengaruh emang dasar benci ayu kalo
128,mah lihat main prasangka kayak elu elu haters kayak dukun dukun titis dajjal sok pinter otak kosong sorry ye bala nabi muhammad percaya kalo udh ditunjukkin saksi bukti kalo
129,mata ku sepet baca koment fans ubul empang minggir woy bikin rusuh aja nih jaer amis jijik sumpah enji cewek ttp aja bala jaer nyampah bikin ribut
130,sih si enji hart kah males banget jijik laki model mah gak tanggung jwbnya ayu bunting tinggalin anak gak akuin anak udh nongol bilqis cantek eh sampek bini nya ngeposting enji kangen anak najong jijik betoll dah deh min gak bahas laki hart aja gak panutan ambil
131,bodoh nya pede ngomong bilang bukti aja kaga liat pinter jatohnya bodoh
132,bilang enji ganteng bebas slingkuh bodoh kali ganteng pala lu bau menyan gada ganteng ganteng nya banyak gaya kek mantan bini depok nya
133,sebenarnye cocok enji att gatel hahah pantesan si tongtong temu dgn enji udh hukum alam klw jodoh cermin si entong hrsnya bekaca dgn biar sadar teryata otak m tetep tahan mlh guatelnye aja kek enji hah
134,oalaah aja pelakor laki nya kegatelan nama laki kucing ksh ikan jaer gratis ya kga nolak wkwkkwkw
135,ya sis suka murah prempuan jilbab ato pintar downgrade sih dangdut kelas prempuan jilbab ehh milih pecun jelek selera
136,motorninja aja songong mba orang mobil lamborgini aja wae
137,goblok gua nonton kali kaget
138,ga usa pake anjing babi kalo bls gitu wkwk
139,oh kemaren harga karya orang bilang jelek banget aduh penganten perempuan nya kenyang yah ampe kembung gitu perut nya pepuralugu
140,percaya gimik raffi gigi dn att att serta keluarga hujad dn anak nya hujad kesini tonton bodohin publik kasihan penghujad ga ayu ga pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
141,kalo gimmick bodoh banget si ayu rating popularitas berani taruhin harga nilai buruk mata masyarakat
142,susah otak diemvang mah bikin rusuh lapak orang
143,najis kayak si mba dese ga gitu aja hahahahaha maling teriak maling ngaca buk
144,iyak kaa hahahahah geli banget gasih att ih kampung abis
145,joget bikin ngakak anjir kampung banget
146,bagus la otak gak kayak lu malu maluin mak lu aja tong akun asli pake tu nama bodoh
147,bodoh mah elu sih ngasih contoh buruk anak pake mata emg dugem bawa anak bodoh sih zaman udah texas jamin jam anak jga udh texas selagi ga ngerugiin yaudah sewot banget
148,si wanita jahiliyah lesbi udh py pacar kasi anak kmrn ksh bencana slnya tega misahin anak nya ktakutan anak nya masuk islam pdhl bp nya prnh nuntut anak peluk islam udh ksh nikmat anak orang msh aja begajulan
149,emang kador artis beneran komen tolol sumpah kenal nilai artis hahaha orang indo tuju kalo kador artis celebgram kampung tau beda artis dg selebgra
150,hahaha trs tolol pake nanya kador bencong ngga blm kenal wkwkwkwkw eh orang nilai si kador bencong beneran gerak gerik melambay suara ngondek pake baju cewek nyaman cowok tu
151,maklumin shay fans gatis keras otak bebel realita ga terima hal nagita artis uda zaman eh bilang numpang tenar rapi mamad pdhl jadiin si mamad gede ya ph
152,bee idih najong lu orang nimbrung aja kek mujaer ga kenal kalo ga nama ayu ting ting nagita duh bodoh piara kesi
153,langsung bilang maksud klu gin nama munafik
154,jedar emg muka kali depan belakang busuk mulut kek banci cucoklah banci tu
155,amit amit deh orang jahat jilat bohong pelakor jijik banget
156,wkwkwkwk ya allah ya tuhan ku knp munafik ni sok suci mulan jamela ayu ngikuti jejak a wkwkwk
157,dlu si pelakor sombong brhasil dapetin si botak smpe mnceraikan bunda maya hdp nya mkin anjlok bunda maya sring kluarnegri
158,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
159,w hem capekmiskin sist blik kere artis laku dah karma tu sirik nyinyirin nyonya tuh bantuin jual cireng nya tuh cilok nya tuh untun libur monaco bromo trus
160,kepo nyonyiah lu jongos emng tetehlu pas hamil peak udeh dinikahin brojol anak br sirih emng lonte kelas akun jamahliur junjung hehe
161,eh jongos cba duluan nanya lu emng nyonyiah gembar gembor udah nikah ada nyonyiah ngaku udeh nikah tetehlu lonte perek brojol ngaku nikah siri laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji haha lonte tolak lupa xixix
162,gua cur ya bunmai sdh nikah janda janda suami nya rampas mulan jameela jijik banget ya mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang dan suami aduha udh wanita be
163,w lucu aja ya sist lonte guoblok pelihara bayar gt muljamban sampe bikin account maia nikah blm nikah urus situ nyinyir sirik nya
164,yaela muljem kyak stu bner aja gag inget udh ngrusak kbhagian klwrga orang bodoh prtahanin ya gin
165,lakik doyan banci banci kawinin banci jijik
166,comment lihat brp guna medsos bodoh bunyi situ sehat pakai hijab mas nyinyir aja
167,malu tuh kerudung sayang ibadah nya sholat aja drpd nyinyirin orang dandan udh sok suci mulut nya kaya sampah
168,tolong baca arti comment udah kerdus bodoh bilangin orang tua nya besok kalo masak pakai mecin udah kerdungab ga sesuai mulut besok makan salmon kalo besok deliv rumah
169,maaf muka jelek attitude nya buruk spesialis plagiat tau
170,orang otak ga sekolahin ya resiko udah upload sosmed ya dapet bincang netizen public figure ga otak
171,artis kampung wkwk
172,iya pacar udah nikah gak norak eloo gak risih emang jgn aplod perhatiin followers lu lumayan tar bawa norak
173,ya ampun pnyanyi dangdut tenar songong bangt bacot pngn nyari sensasi kmpungan bangt deh amit amit bool ko instastory
174,wao sopan bahasami kelas hehh repot hidup lu siapahh elu live nampilin gak nggilanikk jijik liat orang ya pantes dikomen kalo gak mw dikomen videoin pribadi aja nonton lu kluarga lu rmh nambah niy ertong gak pny attutude kampung
175,norak sih kayak ga malu kl bilang serah ya udah simpan foto gak bagi semua orang pamer mana resiko nyinyir orang insecure banget kudu ya gitu biar orang ngerti kl si mbak udh py pacar pantat kampung banget
176,koq marah seh dasar wanita kampung
177,kampung artis numpang tenar muka katy perry doang
178,susah kalo artis kampung
179,ah min gak suka akun nih berita nya basi liat min si kellen amora dateng pake saring min biar berita nya gak blunder posting tu kd udah posting videon kellen ma amora ma si arsya arsyi
180,iya km bening lewat bening buluk ya mbak mbak nelen apasih komen kaya gin surup
181,keluarga ngefans kagum lihat nya deh lihat anak nya jelek buluk hermansyah kutuk timpa bunda kd untung allah swt ganti amora adik nya gemez lihat nya cocok banget anak artis class bunda kd
182,emang dasar si anak nya aja lebay urus pribadi umbar biar blow up hadehh guna whatsapp sms or telp suka aneh
183,coba liat bibir mu sayang pantat ayam wajah mu bulu kentut perfecto
184,gagal fokus dengar suara koq jengkel ya dengernya sorry cuman manusia kalo jengkel
185,muljem ngomong gak blepot gak nyadar idup enak aja pake rebut laki orang
186,lucu ya si bikin tuhan dah pepet ga tau orang rusak rumah tangga orang roboh bangun masjid mbak nya bayangin aja nya dosa mu nasi dah jdi bubur mba nya moga bahagia dunia
187,iyah rubah pandang tuhan elu setan mikir suami majikan embat
188,giling mulan jalang kasih ceramah hahahaha dasar cireng gak tau gak ngaca si cireng ceramah kyk pahlawan siang biar teman ter kyk selpii
189,ya pandang tuhan jelek sih rebut suami orang tuh mulia mata tuhan
190,karna sejati kau setan wujud manusia karna kerja setan ya goda manusia
191,ngga mba baca netizen nyesel ga nimpuk telor si mulan aja ketawa baca wakil ya ngapain wktu ketemu orang gak mutu dng si mulan msh untung nuli biar nyadar tuh pelakor ga harga mending ketemu orang spt bunmai tular aura positif
192,editanx parahh oplas aja nyai drpd gn hahaa kn malu
193,jelek lecek bantet
194,gin ken tenar ya ampun malu kalo anak yah kasi
195,heran mak knp aja pake ma an v pesbu r nya bederet skandal gk malu nya muka tembok gak faedah nya nonton acara si manusia kardus
196,wey orang goblok bedain vape shisha rokok ngerokok pake acara ga ngaku
197,jijik liat kaya ulet bulu gitu hihihi ampe sgitunya ken kenal
198,jablay anjir muka murah banget najis
199,alycia iya sist jijik banget liat sok suci ngatain orang kalo sih malu artis papan otak gak fikir kalo ngomong tau bngt gada wibawa kalo emang nyadar tau komentar manusia gada
200,sabar yaa insya allah buka pintu syurga halang api neraka orang tua
201,lagu baru mbak tata kisah rumah tangga mbak tata mbak tata sayang get suami syukur baik moga awet
202,komen si mbak ga sedih ya iya kalo dah sakit pasang smpe ngapain sih sedih ampe depresi serahin allah aja bawa happy aja mski sakit si mba wajah hati tau senyum menetralisir kondisi hati puruk pepatah bilang kalo bahagia jgn trllu bahagia kalo sedih jgn trllu sedih imbang aja biar ga gila
203,suka banget pasang moga gigi raffi keluarga sakinnah mawaddah warrahmah moga pisah jodoh maut pisah amiin
204,jemima anak angkat celine eleeya anak hubung celine dirly haru tau jemima anak panti asuh rawat wajar stefen pilih celine karna hati
205,lucu blg stefan menghabiskn muda wkwk umur mah gak muda muka aja baby face syukur bonus celinenya dlu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo tnggung jwabnya
206,keenan raisa udah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin raisa hamish untung pasang suami istri ga tuh gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah
207,raisa cantik ya artis ga tonjol kalo nikah tuh mewah udah cantik sederhana sempurna banget
208,karna orang syudah cantik ga dandan heboh utk buat cantik makeup simple gitu aja pesona bikin hamish
209,bagus cari ilmu mana suami orang didik
210,sukak cewe cantik kmauan blajarnya
211,yaampun artis good attitude layak panutan aja kuliah negri karna bakti suami pilih kuliah wilayah suami salut banget
212,semangat batman va support karna manusia salah tolong bahas pliis karna udah
213,ya udh salam knl ya mbk neng knl mbk sbagai manusia ingetin ya sbagai manusia hrs tau jgn sombong digedein dah artis haha ya udh mbk cabut ja ya dri komen foto ni nnt korban dy sel
214,keren ya sederhana pancar sukak keluarga presiden
215,presiden embel gelar bangga
216,proud of you indonesia god bless indonesia
217,amazing bngt miss national costume kereenn bangga budaya indonesia
218,bangga pasti
219,proud of you kak dea patut bangga
220,suka banget pidatox dy pembawaanx bgtu elegan brwibawah pntas mmg dy mdptkan salut
221,percaya kak nik orang jujur semangat kak nik hebat
222,m mba gua ga benci nikmir salut ga muna artis maaf image aja dpan sok sok aniaya jual air mata nikita real sygnya msyarakat cendrung superfisial
223,cantik alami bedak tebel gaya bak
224,cantik gagah mudah lancar dampe h
225,cantik tampil dewasa sesuai muka cantik indonesia classy ayu ayu gimana gitu
226,lcb cantikk lcb untung dapet duren duren beuntung dpt neng lcb sakina mawaddah warahmah amin
227,ganteng seragam ganteng panutan keluarga moga anak milik fisik elok mahluk allah ni
228,untung banget deh mba dapet mas ganteng sholeh sayang keluarga suami idam banget moga keluarga samawa
229,smoga mas agus pimpin salah pimpin sukses sukses pimpin rumah tangga
230,dear bpk cra berpakain bpk cermin pribadi bpk sngt lembut tpi gagah moga bpk kel lindung allah swt salam hormat dri kagum bpk
231,sukses kak ayu moga senantiasa naung allah swt sehat amin
232,smg sehat umur yah nek muda banget cantik mashaallah
233,terimakasih keluarga pilih plataran darmawangsa acara keluarga staff plataran darmawangsa kes tunggu datang keluarga sehat keluarga amin amin ya rabbi
234,salam dirgantara terima kasih dukung sebar awareness kait program pesawat moga momen emas titik bangkit industri pesawat terbang indonesia jaya eyang habibie yuk satu langkah terbang pesawat langsung klik link bio ya
235,semangat ya eyang habibie sehat lindung allah ambisi kuat keren moga bnyk bangsa sprti eyang habibie
236,milik kebahagian nilai cucu sbg generasi terus bangsa
237,kerenn tempat bagus nostalgia bersmaa keluarga
238,cantik ganteng ganteng sehat bu ani keluarga
239,barakallah cantik ganteng moga anak sholeh sholeha bangga kelg
240,bu cucu bikin hati gembira ngangeni kadang kangen ceria salam kangen cinta
241,lucu ganteng parah gede pinternya ga ketulungan salam hormat bu
242,terima kasih sby ani tani beliau kontribusi indonesia pimpin moga bahagia sehat amin
243,caption kali baca captionnya langsung ajar bahasa inggris terima kasih personal tdk kenal anie betapa bangga anak cucu didik generasi bangsa mandiri unggul sehat moga cinta kasih keluarga engkau tebar
244,assalamualaikum hormat salam keluarga banda aceh bangga keluarga bahagia nya sikap etika perilaku keluarga sungguh bijaksana mas agus suami calon presiden beliau bangga salam hangat kenal keluarga ya bu darmanto rapi photo studio
245,senang liat bpk sby nikmat tua brsama cucu cinta sehat trs ya memo pepo allah swt lindung memo pepo kel kis
246,semangat mebangun indonesia maju jokowi
247,artis kualitas wajah ituloh kualitas banget hihi cantik bangets top deh ga pake drama gimick idupnya hihi tajir sederhana
248,mba via sptnya siyok kejam dunia artis an tetep sabar tetep karya dg
249,suka via orang nya jujur kaga hidup hitam ya hitam putih ya putih kl ngomong kl ngga suka dy ngomong ga banget sih ga munafik sprti ajar ortu suka senyum palsu ga kaya artis onoh noh mulut lebar kya tukang ngibul munfik banget kl wartawan perilaku omong ga balance
250,go a head via cuekin aja udah gaul dunia kerja masyarakat gaul ertong gatel bin sirik kalo liat orang sukses anggep aja kuman gak bikin status neng bahan ngetawain nggak
251,gagah kali abang borisq kalo gk bc nmx gk ngeh kalo it bang bor
252,weew bangga kali ak liat bang pake baju adat karo syip
253,bagus banget baju anti happy weding
254,masyaallah bagus banget
255,gile suaranyaa kereen parah sukak
256,keren nyanyi asli
257,keren sampe merinding br
258,yatuhan suara bagus banget
259,keren suara super merdu coba audisi nyanyi bakat salur
260,bagus drpd artis modal tampang doang pdhl suara jelek mending mas nyanyi emg dasar nasib orang yak gk tau moga mas sukses
261,dgrin sampe bulu kuduk saking bgusnya masyaallah apik banget suara
262,subhanallah getar hati dengar suara nya
263,allah suara bagus banget cantik orang idam cowo
264,bagus suara tampil sesuai anak sekolah natural sesuai usia nya
265,keren suara bagus
266,cantik polos liat bakat moga udah tenar gek selebgram ga si mba novilda ya dek hilang arah tetap cepat tumbuh dewasa asah bakat allah bless you both
267,bagus ga kaya pingin kenal rambut dlu muka makeup dl biar kamera keren hahaha kl bnr bnr liat lelah abis pulang sekolah
268,ulang kali kali sampet gak percaya kalo suara asli bagus banget
269,alhamdulillah kidz zaman niw karya wajar umur sok gede
270,aduhh keren suara enak nge gimanaa gtu muka mah aja ntr kalo udh tenar muka ikut hahahahahaha skill dlu nomer batu abege zaman now
271,keren nih enak banget didengernya gak bosen puter gajelas gtu
272,waduuh keren banget emeesh
273,kalo sih yes bingits coba ya seandaix video sprt gin video kreativ bagus dripda video mesum ngelem dll bau negativ bikin dosa maluin ortu
274,bagus dandan natural ga permak kayak anak zaman now
275,keren nyanyi santai banget
276,polos keren ga kayak jos
277,yes bagus banget kids zaman now diksh jempol
278,anak skul banget yaakk mase alami banget suka liat lagu ma suara keren palg pake bando suara mantap
279,keren suara dasar cantik tinggal poles dikit sinar
280,bagi suara pas bnget pecah suara cakep
281,keren banget suara tinggal permak aja biar tmbh cantik viralkann
282,keren suaranyahh okkeehh ketjehh badaaiik ughllallaa
283,yes yes yes kirain lypsinc habis sih suara eh pas nyanyi bareng ngeh asli kereen
284,keren bakat ntar kalo udah artis duit muka cemerlang
285,keren min bakat kaya gin up publik
286,keren banget suara kyk gin kids zaman now
287,mrinding bagus poll jaga ya dek polos jng smpek kyk si dkk
288,kereenn sumpaah banget bagus
